iter	Passed	Remaining
0	0	86
1	1	88
2	2	88
3	3	86
4	4	89
5	5	90
6	6	88
7	7	87
8	8	87
9	9	85
10	10	86
11	11	86
12	12	85
13	13	84
14	14	83
15	16	84
16	17	84
17	18	84
18	19	83
19	20	83
20	21	82
21	23	82
22	24	82
23	25	82
24	27	81
25	28	80
26	29	79
27	30	79
28	32	78
29	33	78
30	34	77
31	36	76
32	37	76
33	38	75
34	40	74
35	41	73
36	42	72
37	44	72
38	45	71
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	52	63
45	53	62
46	54	61
47	55	60
48	57	59
49	58	58
50	59	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	67	50
57	68	49
58	69	48
59	70	47
60	72	46
61	73	44
62	74	43
63	75	42
64	77	41
65	78	40
66	79	39
67	80	37
68	82	36
69	83	35
70	84	34
71	86	33
72	87	32
73	88	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	97	22
81	98	21
82	99	20
83	100	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	108	12
90	109	10
91	110	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	119	1
99	120	0
