iter	Passed	Remaining
0	1	1041
1	1	931
2	2	889
3	3	915
4	4	894
5	5	873
6	5	810
7	6	837
8	7	836
9	8	829
10	9	812
11	9	809
12	10	804
13	11	798
14	12	803
15	13	813
16	14	813
17	14	812
18	15	811
19	16	828
20	17	831
21	18	831
22	19	820
23	19	812
24	20	808
25	21	808
26	22	804
27	23	808
28	24	807
29	24	807
30	25	804
31	26	800
32	27	795
33	28	796
34	28	795
35	29	796
36	30	798
37	31	798
38	32	793
39	33	792
40	33	785
41	34	783
42	35	783
43	36	785
44	37	785
45	37	787
46	38	790
47	39	789
48	40	785
49	41	783
50	41	779
51	42	780
52	43	779
53	44	781
54	45	782
55	46	778
56	47	778
57	47	775
58	48	775
59	49	773
60	50	772
61	50	771
62	51	770
63	52	772
64	53	772
65	54	771
66	55	769
67	56	767
68	56	765
69	57	768
70	58	768
71	59	763
72	60	766
73	61	765
74	61	764
75	62	764
76	63	759
77	63	754
78	64	756
79	65	755
80	66	753
81	67	754
82	68	755
83	69	756
84	70	755
85	71	755
86	71	754
87	72	753
88	73	752
89	74	752
90	75	751
91	76	751
92	76	749
93	77	747
94	78	746
95	78	742
96	79	741
97	80	739
98	81	739
99	82	738
100	82	734
101	83	732
102	83	730
103	84	728
104	85	726
105	86	725
106	86	725
107	87	724
108	88	725
109	89	727
110	90	725
111	91	723
112	91	720
113	92	716
114	92	714
115	93	713
116	94	713
117	95	713
118	96	715
119	97	715
120	98	713
121	98	711
122	99	707
123	99	705
124	100	703
125	101	701
126	101	700
127	102	698
128	103	696
129	103	695
130	104	693
131	105	692
132	106	692
133	106	691
134	107	691
135	108	691
136	109	692
137	110	692
138	111	689
139	112	690
140	113	689
141	113	688
142	114	687
143	115	686
144	116	685
145	116	683
146	117	682
147	118	682
148	118	679
149	119	678
150	120	676
151	121	675
152	121	674
153	122	673
154	123	671
155	123	670
156	124	668
157	125	668
158	126	666
159	126	663
160	127	662
161	127	661
162	128	659
163	129	658
164	129	657
165	130	656
166	131	655
167	132	654
168	133	654
169	133	653
170	134	652
171	135	651
172	135	648
173	136	647
174	137	646
175	137	645
176	138	644
177	139	644
178	140	643
179	141	643
180	141	640
181	142	639
182	142	638
183	143	637
184	144	636
185	145	635
186	145	634
187	146	633
188	147	632
189	148	632
190	149	631
191	149	630
192	150	629
193	151	628
194	152	627
195	152	626
196	153	625
197	154	624
198	155	624
199	156	624
200	156	623
201	157	622
202	158	622
203	159	621
204	160	621
205	160	620
206	161	619
207	162	618
208	163	618
209	164	617
210	164	616
211	165	615
212	166	614
213	167	614
214	168	614
215	169	615
216	170	615
217	171	615
218	172	614
219	172	613
220	173	612
221	174	612
222	175	613
223	177	615
224	178	615
225	179	615
226	180	615
227	181	615
228	182	616
229	184	616
230	184	615
231	185	615
232	186	614
233	187	613
234	188	612
235	188	611
236	189	611
237	190	611
238	192	611
239	193	611
240	193	610
241	194	609
242	195	608
243	196	607
244	197	607
245	197	606
246	198	605
247	199	604
248	200	603
249	200	602
250	201	602
251	202	601
252	203	600
253	204	600
254	205	599
255	205	598
256	206	597
257	207	597
258	208	596
259	209	596
260	210	595
261	210	593
262	211	593
263	212	593
264	214	593
265	215	594
266	216	593
267	216	592
268	217	591
269	218	590
270	219	590
271	220	590
272	221	590
273	223	590
274	223	590
275	224	589
276	225	588
277	226	587
278	226	586
279	227	585
280	228	584
281	229	583
282	229	582
283	230	581
284	231	580
285	232	579
286	232	578
287	233	577
288	234	576
289	235	575
290	235	574
291	236	573
292	237	573
293	238	572
294	239	571
295	239	570
296	240	570
297	241	569
298	242	569
299	244	569
300	245	569
301	246	568
302	246	568
303	247	567
304	248	566
305	249	565
306	250	565
307	251	564
308	251	563
309	252	562
310	253	561
311	254	560
312	254	559
313	255	558
314	256	557
315	257	557
316	258	556
317	259	555
318	259	554
319	260	553
320	261	552
321	262	551
322	262	550
323	263	550
324	264	549
325	265	548
326	266	548
327	267	548
328	268	547
329	269	546
330	269	545
331	270	544
332	271	543
333	272	543
334	273	542
335	274	541
336	274	540
337	275	539
338	276	538
339	277	538
340	277	537
341	278	536
342	279	535
343	280	534
344	281	533
345	282	533
346	282	532
347	283	531
348	284	530
349	285	529
350	285	528
351	286	527
352	287	527
353	288	527
354	290	526
355	290	525
356	291	524
357	292	523
358	292	522
359	293	522
360	294	521
361	296	521
362	297	521
363	298	520
364	298	520
365	299	519
366	300	518
367	301	517
368	302	516
369	303	516
370	304	515
371	304	514
372	305	513
373	306	512
374	307	511
375	307	511
376	308	510
377	309	509
378	310	508
379	311	507
380	312	507
381	312	506
382	313	505
383	314	504
384	315	503
385	315	502
386	316	501
387	317	500
388	318	499
389	319	498
390	319	498
391	320	497
392	321	496
393	322	495
394	322	494
395	323	493
396	324	492
397	325	492
398	326	492
399	327	491
400	328	490
401	328	489
402	329	488
403	330	487
404	331	486
405	331	485
406	332	484
407	333	484
408	334	483
409	335	482
410	335	481
411	336	480
412	337	479
413	338	478
414	338	477
415	339	476
416	340	475
417	341	475
418	342	474
419	342	473
420	343	472
421	344	471
422	344	470
423	345	469
424	346	468
425	347	468
426	348	467
427	348	466
428	349	465
429	350	464
430	351	463
431	351	462
432	352	461
433	353	460
434	354	460
435	355	459
436	355	458
437	356	457
438	357	456
439	358	455
440	358	455
441	359	454
442	360	453
443	361	452
444	362	451
445	362	450
446	363	450
447	364	449
448	365	448
449	365	447
450	366	446
451	367	445
452	368	444
453	368	443
454	369	442
455	370	442
456	371	441
457	372	440
458	372	439
459	373	438
460	374	437
461	374	436
462	375	435
463	376	434
464	377	434
465	378	433
466	378	432
467	379	431
468	380	430
469	381	429
470	381	428
471	382	427
472	383	427
473	384	426
474	384	425
475	385	424
476	386	424
477	387	423
478	388	422
479	388	421
480	389	420
481	390	419
482	391	418
483	391	417
484	392	417
485	393	416
486	394	415
487	395	414
488	396	413
489	396	412
490	397	412
491	398	411
492	399	410
493	399	409
494	400	408
495	401	407
496	402	407
497	402	406
498	403	405
499	404	404
500	405	403
501	405	402
502	406	401
503	407	401
504	408	400
505	409	399
506	410	398
507	410	397
508	411	396
509	412	395
510	412	395
511	413	394
512	414	393
513	415	392
514	416	391
515	416	390
516	417	390
517	418	389
518	418	388
519	419	387
520	420	386
521	421	385
522	421	384
523	422	384
524	423	383
525	424	382
526	425	381
527	425	380
528	426	379
529	427	378
530	427	377
531	428	377
532	429	376
533	430	375
534	431	374
535	431	373
536	432	373
537	433	372
538	434	371
539	434	370
540	435	369
541	436	368
542	437	367
543	438	367
544	439	366
545	440	365
546	440	365
547	441	364
548	442	363
549	443	362
550	443	361
551	444	360
552	445	360
553	446	359
554	447	358
555	447	357
556	448	356
557	449	355
558	449	354
559	450	354
560	451	353
561	452	352
562	453	351
563	453	350
564	454	350
565	455	349
566	456	348
567	456	347
568	457	346
569	458	345
570	459	345
571	460	344
572	460	343
573	461	342
574	462	341
575	463	341
576	464	340
577	464	339
578	465	338
579	466	337
580	467	336
581	467	336
582	468	335
583	469	334
584	470	333
585	470	332
586	471	331
587	472	330
588	473	330
589	473	329
590	474	328
591	475	327
592	476	327
593	477	326
594	477	325
595	478	324
596	479	323
597	480	322
598	480	321
599	481	321
600	482	320
601	483	319
602	484	318
603	484	317
604	485	316
605	486	316
606	486	315
607	487	314
608	488	313
609	489	312
610	490	312
611	490	311
612	491	310
613	492	309
614	493	308
615	493	307
616	494	306
617	495	306
618	495	305
619	496	304
620	497	303
621	498	303
622	499	302
623	500	301
624	500	300
625	501	299
626	502	298
627	503	298
628	503	297
629	504	296
630	505	295
631	506	294
632	507	294
633	507	293
634	508	292
635	509	291
636	509	290
637	510	289
638	511	288
639	512	288
640	513	287
641	513	286
642	514	285
643	515	284
644	516	284
645	516	283
646	517	282
647	518	281
648	519	280
649	520	280
650	520	279
651	521	278
652	522	277
653	523	276
654	523	275
655	524	275
656	525	274
657	526	273
658	526	272
659	527	271
660	528	271
661	529	270
662	530	269
663	530	268
664	531	267
665	532	266
666	533	266
667	533	265
668	534	264
669	535	263
670	536	262
671	536	262
672	537	261
673	538	260
674	539	259
675	539	258
676	540	257
677	541	257
